0.22921808280430764: {'no_components': 26, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.22936582495760566: {'no_components': 26, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.2295398629701942: {'no_components': 26, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.22959655226302073: {'no_components': 28, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.2297736212306627: {'no_components': 20, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.2299189872103991: {'no_components': 22, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 2.0}
0.22997509504071853: {'no_components': 30, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.22999100617679372: {'no_components': 30, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 3.0}
0.23011317294209457: {'no_components': 22, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.5}
0.2309731320439953: {'no_components': 28, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.23109899081380733: {'no_components': 22, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.23109953166372793: {'no_components': 10, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.23172089671784962: {'no_components': 12, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.23182781590081697: {'no_components': 28, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.23211622503383783: {'no_components': 12, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.2321912949719407: {'no_components': 28, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.23223032616444153: {'no_components': 30, 'loss': 'warp-kos', 'k': 1, 'method': 'zero_one', 'threshold': 1.5}
0.23254020895620348: {'no_components': 30, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 3.0}
0.23306087890850963: {'no_components': 16, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.2331273139952411: {'no_components': 24, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.23361617387884764: {'no_components': 16, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.2337330779425677: {'no_components': 12, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.23386139051469118: {'no_components': 24, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.23424169073920628: {'no_components': 18, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.23425590959206888: {'no_components': 14, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.23438413114074846: {'no_components': 10, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.235225256772025: {'no_components': 30, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 1.5}
0.23580711738472657: {'no_components': 14, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.23590723847996292: {'no_components': 20, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.23632822176929924: {'no_components': 18, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.23675330699965397: {'no_components': 26, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.23701426172876322: {'no_components': 10, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.23770502235921492: {'no_components': 20, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.23775575059997772: {'no_components': 16, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.2388250398127211: {'no_components': 22, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.23893285212748924: {'no_components': 20, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.23910397271500602: {'no_components': 26, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.23951576611755848: {'no_components': 30, 'loss': 'warp-kos', 'k': 3, 'method': 'zero_one', 'threshold': 2.0}
0.23954617560836167: {'no_components': 16, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.23961207489119624: {'no_components': 14, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.24013328659628433: {'no_components': 28, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.24013388211263081: {'no_components': 24, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.2403514765617047: {'no_components': 18, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.24051797005412504: {'no_components': 24, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.24069719194312694: {'no_components': 22, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.24086324285917807: {'no_components': 26, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.24162872113859976: {'no_components': 20, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.24191363292146537: {'no_components': 28, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.242149509042155: {'no_components': 18, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.242211754595332: {'no_components': 14, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.24310002055799185: {'no_components': 24, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.24450846409480825: {'no_components': 28, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.2447587616416731: {'no_components': 30, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 3.0}
0.24553803169620508: {'no_components': 26, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.24580130876994022: {'no_components': 22, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.2459330199433734: {'no_components': 26, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
0.24596991447312852: {'no_components': 28, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.24724069826376516: {'no_components': 30, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.24758675289058285: {'no_components': 22, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.0}
0.24775210774461334: {'no_components': 30, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 1.5}
0.24777378264292843: {'no_components': 30, 'loss': 'warp-kos', 'k': 2, 'method': 'zero_one', 'threshold': 2.5}
